name,code
BYC,001460
CJ CGV,079160
CJ씨푸드,011150
CJ제일제당,097950
DB손해보험,005830
DSR제강,069730
KB금융,105560
KC그린홀딩스,009440
LG하우시스,108670
LS전선아시아,229640
MH에탄올,023150
S&T홀딩스,036530
SBS미디어홀딩스,101060
SK텔레콤,017670
STX중공업,071970
계양전기,012200
골든브릿지증권,001290
기업은행,024110
깨끗한나라,004540
남광토건,001260
남해화학,025860
대구백화점,006370
대신증권,003540
대우건설,047040
대한제분,001130
대한항공,003490
대한해운,005880
덕양산업,024900
덴티움,145720
디씨엠,024090
롯데케미칼,011170
마니커,027740
메리츠종금증권,008560
모토닉,009680
보락,002760
보령제약,003850
부광약품,003000
사조해표,079660
삼성물산,028260
삼성화재해상보험,000810
삼양통상,002170
삼정펄프,009770
삼호개발,010960
삼화전자공업,011230
새론오토모티브,075180
선진,136490
성창기업지주,000180
세아특수강,019440
신세계인터내셔날,031430
신풍제지,002870
신흥,004080
씨에스윈드,112610
아이에이치큐,003560
에스원,012750
에스제이엠홀딩스,025530
예스코,015360
오뚜기,007310
우진,105840
우진플라임,049800
유니켐,011330
유진증권,001200
이노션,214320
이마트,139480
이수페타시스,007660
인지컨트롤스,023800
인터지스,129260
일신방직,003200
일진디스플,020760
제일기획,030000
지투알,035000
케이티앤지,033780
코라오홀딩스,900140
코리아오토글라스,152330
코오롱인더,120110
키위미디어그룹,012170
태평양물산,007980
페이퍼코리아,001020
한국공항,005430
한국수출포장공업,002200
한국전력공사,015760
한국주철관공업,000970
한국화장품,123690
한샘,009240
한세예스24홀딩스,016450
한솔테크닉스,004710
한신공영,004960
한전기술,052690
한화,000880
현대리바트,079430
현대약품,004310
현대에이치씨엔,126560
형지엘리트,093240
호텔신라,008770
화신,010690
휴스틸,005010
CJ프레시웨이,051500
DB라이텍,045890
GMR 머티리얼즈,032860
IBKS제5호스팩,254120
IBKS제8호스팩,277410
KD건설,044180
SCI평가정보,036120
SG&G,040610
SIMPAC Metal,090730
SK머티리얼즈,036490
THE E&M,089230
UCI,038340
골든브릿지제4호스팩,227950
광림,014200
구영테크,053270
국영지앤엠,006050
국일신동,060480
국일제지,078130
글로벌에스엠,900070
나스미디어,089600
네오티스,085910
네이블커뮤니케이션즈,153460
넥스트리밍,139670
넵튠,217270
녹십자엠에스,142280
뉴트리바이오텍,222040
다날,064260
다산네트웍스,039560
대륙제관,004780
대성파인텍,104040
대아티아이,045390
대주산업,003310
대호피앤씨,021040
동부스팩3호,226440
동운아나텍,094170
디에이치피코리아,131030
디에이테크놀로지,196490
디에이피,066900
디엔에이링크,127120
디젠스,113810
디지털대성,068930
라이브플렉스,050120
라이온켐텍,171120
랩지노믹스,084650
로보스타,090360
로스웰,900260
로지시스,067730
마제스타,035480
멜파스,096640
모다,149940
무림SP,001810
미코,059090
뷰웍스,100120
브레인콘텐츠,066980
비츠로셀,082920
빅텍,065450
삼기오토모티브,122350
삼보판지,023600
상신전자,263810
상아프론테크,089980
서울전자통신,027040
성광벤드,014620
성창오토텍,080470
세미콘라이트,214310
세중,039310
손오공,066910
솔고바이오,043100
솔루에타,154040
슈프리마에이치큐,094840
슈피겐코리아,192440
신라섬유,001000
신성델타테크,065350
신진에스엠,138070
신한제3호스팩,257730
신화인터텍,056700
썸에이지,208640
씨젠,096530
아가방컴퍼니,013990
아이에스이커머스,069920
아프리카TV,067160
야스,255440
에스아이티글로벌,050320
에스제이케이,080440
에이치엘비,028300
에이텍티앤,224110
에이티넘인베스트,021080
에코플라스틱,038110
엑시콘,092870
엔에이치스팩11호,256840
엔에이치스팩12호,273060
엠씨넥스,097520
엠플러스,259630
연이정보통신,090740
영우디에스피,143540
예스24,053280
와이아이케이,232140
와이엠티,251370
우성아이비,194610
원익,032940
원풍,008370
웹젠,069080
유니온커뮤니티,203450
유니테스트,086390
유비쿼스,264450
유신,054930
유진에이씨피씨스팩2호,215090
유진테크,084370
유티아이,179900
이건홀딩스,039020
이디,033110
이스트아시아홀딩스,900110
이씨에스,067010
이엠텍,091120
인바디,041830
인베니아,079950
인탑스,049070
인터불스,158310
인터엠,017250
인피니트헬스케어,071200
잉글우드랩,950140
재영솔루텍,049630
제낙스,065620
제룡산업,147830
제우스,079370
제이에스티나,026040
진바이오텍,086060
창해에탄올,004650
카스,016920
케이맥,043290
케이비제10호스팩,250930
케이씨에스,115500
케이엔더블유,105330
케이피에스,256940
케이피티,054410
코렌텍,104540
코스메카코리아,241710
코웰패션,033290
코콤,015710
큐에스아이,066310
크레아플래닛,058530
클리오,237880
토박스코리아,215480
트레이스,052290
티슈진,950160
티씨케이,064760
티케이케미칼,104480
파수닷컴,150900
파워로직스,047310
파인디앤씨,049120
파크시스템스,140860
판타지오,032800
펄어비스,263750
포스코켐텍,003670
퓨쳐스트림네트웍스,214270
프로텍,053610
피씨디렉트,051380
한국코퍼레이션,050540
한솔신텍,099660
한스바이오메드,042520
한일화학,007770
한프,066110
현대통신,039010
홈센타홀딩스,060560
화진,134780
휴마시스,205470
데이터스트림즈,199150
디지캡,197140
래몽래인,200350
메디쎄이,200580
비나텍,126340
시냅스엠,246830
씨앤에스링크,245450
알로이스,271400
에이비온,203400
에프앤가이드,064850
에프엠에스,278990
엠에프엠코리아,251960
옐로페이,179720
오파스넷,173130
유비온,084440
줌인터넷,229480
지티지웰니스,219750
툴젠,199800
피노텍,150440
휴럼,284420
AJ네트웍스,095570
AK홀딩스,006840
CJ,001040
DSR,155660
JW중외제약,001060
KC코트렐,119650
KR모터스,000040
LG디스플레이,034220
LG상사,001120
NAVER,035420
SBS,034120
SK가스,018670
SPC삼립,005610
STX,011810
TCC동양,002710
WISCOM,024070
경농,002100
광주신세계,037710
교보증권,030610
기신정기,092440
기아자동차,000270
까뮤이앤씨,013700
노루홀딩스,000320
대교,019680
대양금속,009190
대웅,003090
대원화성,024890
대유에이텍,002880
대창,012800
대창단조,015230
동북아13호선박투자,083380
동양고속,084670
디아이씨,092200
디와이,013570
메디플란트,015540
문배철강,008420
미래에셋생명,085620
미원화학,134380
방림,003610
보해양조,000890
빙그레,005180
삼성제약,001360
삼영무역,002810
삼익악기,002450
서울도시가스,017390
선창산업,002820
성신양회,004980
세아제강,003030
세진중공업,075580
신세계푸드,031440
신송홀딩스,006880
신영와코루,005800
아시아나항공,020560
아주캐피탈,033660
에이엔피,015260
엔씨소프트,036570
우신시스템,017370
웅진,016880
유안타증권,003470
이건산업,008250
이구산업,025820
이수화학,005950
이스타코,015020
이월드,084680
인스코비,006490
일진홀딩스,015860
제일약품,271980
조선내화,000480
조일알미늄,018470
종근당,185750
종근당바이오,063160
케이씨씨,002380
케이티스,058860
코오롱머티리얼,144620
코웨이,021240
크라운제과,264900
평화홀딩스,010770
포스코강판,058430
하이골드12호,172580
하이골드8호,159650
한국콜마홀딩스,024720
한국타이어월드와이드,000240
한국토지신탁,034830
한세실업,105630
한전산업,130660
한화손해보험,000370
현대글로비스,086280
현대산업개발,012630
현대엘리베이터,017800
현대홈쇼핑,057050
혜인,003010
호전실업,111110
화천기계,010660
환인제약,016580
휴니드테크놀러지스,005870
흥국화재,000540
GH신소재,130500
GRT,900290
HRS,036640
IBKS제3호스팩,225430
ITX엠투엠,099520
KB오토시스,024120
KG ETS,151860
KG모빌리언스,046440
KJ프리텍,083470
KPX생명과학,114450
MP그룹,065150
고려시멘트,198440
교보비엔케이스팩,242040
국순당,043650
그랜드백화점,019010
금강철강,053260
기가레인,049080
나노신소재,121600
네오위즈홀딩스,042420
넥스트칩,092600
녹원씨아이,065560
농우바이오,054050
뉴로스,126870
뉴인텍,012340
대봉엘에스,078140
대성미생물,036480
대신정보통신,020180
덕산하이메탈,077360
데이타솔루션,263800
데코앤이,017680
덱스터,206560
동신건설,025950
디에스티,033430
디엠티,134580
딜리,131180
레고켐바이오,141080
레드캡투어,038390
레이언스,228850
루멘스,038060
리더스코스메틱,016100
매일홀딩스,005990
모두투어,080160
미동앤씨네마,161570
미래나노텍,095500
바디텍메드,206640
바이넥스,053030
바이오로그디바이스,208710
브이원텍,251630
빛샘전자,072950
삼보모터스,053700
삼본정밀전자,111870
삼양옵틱스,225190
삼일기업공사,002290
삼현철강,017480
샘코,263540
서울옥션,063170
서울제약,018680
서한,011370
선데이토즈,123420
셀트리온제약,068760
셀트리온헬스케어,091990
소프트센,032680
스맥,099440
스카이문스테크놀로지,033790
신영스팩3호,263770
씨아이에스,222080
씨엔플러스,115530
씨트리,047920
아미노로직스,074430
아바텍,149950
아이씨케이,068940
아이원스,114810
아이지스시스템,139050
아이텍반도체,119830
알서포트,131370
애니젠,196300
액토즈소프트,052790
액트,131400
양지사,030960
어보브반도체,102120
에너토크,019990
에스맥,097780
에스에이엠티,031330
에스에프에이,056190
에스티팜,237690
에쎈테크,043340
에이치엘비생명과학,067630
에이텍,045660
에프엔씨애드컬쳐,063440
엑셈,205100
엔에스엔,031860
엔터메이트,206400
연우,115960
영인프런티어,036180
영풍정밀,036560
오상자이엘,053980
오션브릿지,241790
오킨스전자,080580
오텍,067170
옴니시스템,057540
옵토팩,123010
와이지-원,019210
와이지엔터테인먼트,122870
완리,900180
우리넷,115440
우림기계,101170
우수AMS,066590
원익홀딩스,030530
웰크론한텍,076080
위노바,039790
윈팩,097800
유니트론텍,142210
유성티엔에스,024800
이그잭스,060230
이니텍,053350
이매진아시아,036260
이오테크닉스,039030
이원컴포텍,088290
인텔리안테크,189300
인프라웨어,041020
제노포커스,187420
제이씨현시스템,033320
제이엔케이히터,126880
조광ILI,044060
주성엔지니어링,036930
중앙에너비스,000440
중앙오션,054180
지니뮤직,043610
지에스이,053050
지엔씨에너지,119850
진성티이씨,036890
케이비제8호스팩,222390
케이엠더블유,032500
코닉글로리,094860
코아스템,166480
큐렉소,060280
크로바하이텍,043590
클래시스,214150
태양씨앤엘,072520
텔콘,200230
특수건설,026150
티엘아이,062860
파나진,046210
파루,043200
파마리서치프로덕트,214450
파트론,091700
파티게임즈,194510
팜스토리,027710
팬스타엔터프라이즈,054300
팬젠,222110
퍼시픽바이오,060900
피델릭스,032580
피앤텔,054340
피에스케이,031980
피에스텍,002230
하이즈항공,221840
한국4호스팩,240540
한국정보통신,025770
한글과컴퓨터,030520
한일네트웍스,046110
한컴지엠디,077280
현대공업,170030
휘닉스소재,050090
흥구석유,024060
나무기술,167380
듀켐바이오,176750
라이프사이언스테크놀로지,285770
세기리텍,199870
수프로,185190
씨알푸드,236030
씨앗,103660
씨티네트웍스,189540
아이케이세미콘,149010
에스엠로보틱스,252940
에스와이제이,251540
엔에스컴퍼니,224760
엔지켐생명과학,183490
엠로,058970
오스테오닉,226400
유니포인트,121060
이엔드디,101360
인산가,062580
제놀루션,225220
제이에스피브이,250300
주노콜렉션,221670
청광종건,140290
크로넥스,215570
탑선,180060
틸론,217880
휴벡셀,212310
BNK금융지주,138930
DRB동일,004840
E1,017940
GS건설,006360
JW생명과학,234080
JW홀딩스,096760
KPX케미칼,025000
KSS해운,044450
NICE,034310
SG세계물산,004060
SK하이닉스,000660
고려산업,002140
광주은행,192530
국동,005320
금강공업,014280
금호에이치티,214330
넷마블게임즈,251270
녹십자,006280
농심홀딩스,072710
다우기술,023590
대림통상,006570
대성홀딩스,016710
대영포장,014160
더존비즈온,012510
동국실업,001620
동부건설,005960
동성코퍼레이션,102260
동아지질,028100
동원산업,006040
동일방직,001530
두산밥캣,241560
롯데관광개발,032350
롯데정밀화학,004000
롯데푸드,002270
맵스리얼티1,094800
메리츠금융지주,138040
미원상사,002840
미원에스씨,268280
미원홀딩스,107590
부국증권,001270
삼부토건,001470
삼성공조,006660
삼성엔지니어링,028050
삼성중공업,010140
삼양식품,003230
삼일제약,000520
삼천리,004690
삼화콘덴서공업,001820
삼화페인트공업,000390
서흥,008490
성지건설,005980
세아베스틸,001430
세하,027970
세화아이엠씨,145210
쌍용자동차,003620
써니전자,004770
아남전자,008700
아모레퍼시픽,090430
아모레퍼시픽그룹,002790
아세아제지,002310
에스제이엠,123700
영풍,000670
유양디앤유,011690
유유제약,000220
유한양행,000100
율촌화학,008730
이아이디,093230
일동홀딩스,000230
일진머티리얼즈,020150
조선선재,120030
진원생명과학,011000
체시스,033250
케이탑리츠,145270
코오롱,002020
키움증권,039490
태경화학,006890
토니모리,214420
티웨이홀딩스,004870
팬오션,028670
포스코대우,047050
풍산,103140
한국쉘석유,002960
한국전자홀딩스,006200
한솔로지스틱스,009180
한온시스템,018880
한일철강,002220
한진,002320
한진칼,180640
해태제과식품,101530
핸즈코퍼레이션,143210
현대그린푸드,005440
현대백화점,069960
현대비앤지스틸,004560
현대시멘트,006390
현대위아,011210
현대일렉트릭,267260
화승인더스트리,006060
효성,004800
효성 ITX,094280
휴켐스,069260
흥아해운,003280
CS,065770
JYP Ent.,035900
RFHIC,218410
SGA,049470
SK3호스팩,232330
W홀딩컴퍼니,052300
경남스틸,039240
고려신용정보,049720
고영,098460
교보5호스팩,223040
나노,187790
나이벡,138610
나이스정보통신,036800
