,name,code
0,BYC,001460
1,CJ CGV,079160
2,CJ???,011150
3,CJ????,097950
4,DB????,005830
5,DSR??,069730
6,KB??,105560
7,KC?????,009440
8,LG????,108670
9,LS?????,229640
10,MH???,023150
11,S&T???,036530
12,SBS??????,101060
13,SK???,017670
14,STX???,071970
15,????,012200
16,???????,001290
17,????,024110
18,?????,004540
19,????,001260
20,????,025860
21,?????,006370
22,????,003540
23,????,047040
24,????,001130
25,????,003490
26,????,005880
27,????,024900
28,???,145720
29,???,024090
30,?????,011170
31,???,027740
32,???????,008560
33,???,009680
34,??,002760
35,????,003850
36,????,003000
37,????,079660
38,????,028260
39,????????,000810
40,????,002170
41,????,009770
42,????,010960
43,??????,011230
44,???????,075180
45,??,136490
46,??????,000180
47,?????,019440
48,????????,031430
49,????,002870
50,??,004080
51,?????,112610
52,??????,003560
53,???,012750
54,????????,025530
55,???,015360
56,???,007310
57,??,105840
58,?????,049800
59,???,011330
60,????,001200
61,???,214320
62,???,139480
63,??????,007660
64,??????,023800
65,????,129260
66,????,003200
67,?????,020760
68,????,030000
69,???,035000
70,?????,033780
71,??????,900140
72,????????,152330
73,?????,120110
74,???????,012170
75,?????,007980
76,??????,001020
77,????,005430
78,????????,002200
79,??????,015760
80,???????,000970
81,?????,123690
82,??,009240
83,????24???,016450
84,??????,004710
85,????,004960
86,????,052690
87,??,000880
88,?????,079430
89,????,004310
90,???????,126560
91,?????,093240
92,????,008770
93,??,010690
94,???,005010
95,CJ?????,051500
96,DB???,045890
97,GMR ?????,032860
98,IBKS?5???,254120
99,IBKS?8???,277410
100,KD??,044180
101,SCI????,036120
102,SG&G,040610
103,SIMPAC Metal,090730
104,SK?????,036490
105,THE E&M,089230
106,UCI,038340
107,??????3???,219580
108,??????4???,227950
109,??,014200
110,????,053270
111,?????,006050
112,????,060480
113,????,078130
114,??????,900070
115,?????,089600
116,????,085910
117,??????????,153460
118,?????,139670
119,??,217270
120,??????,142280
121,???????,222040
122,??,064260
123,??????,039560
124,????,004780
125,?????,104040
126,?????,045390
127,????,003310
128,?????,021040
129,????3?,226440
130,?????,094170
131,????????,131030
132,????????,196490
133,????,066900
134,??????,127120
135,???,113810
136,?????,068930
137,??????,050120
138,?????,171120
139,?????,084650
